time_iso8601,stars_cumulative
2023-02-16 00:00:00+00:00,2
2023-02-17 00:00:00+00:00,8
2023-02-20 00:00:00+00:00,10
2023-02-24 00:00:00+00:00,11
2023-03-05 00:00:00+00:00,12
2023-03-07 00:00:00+00:00,13
2023-03-17 00:00:00+00:00,15
2023-03-20 00:00:00+00:00,17
2023-03-22 00:00:00+00:00,18
2023-03-25 00:00:00+00:00,19
2023-03-28 00:00:00+00:00,20
2023-04-26 00:00:00+00:00,21
2023-05-31 00:00:00+00:00,22
2023-06-03 00:00:00+00:00,23
2023-07-12 00:00:00+00:00,24
2023-07-13 00:00:00+00:00,25
2023-08-16 00:00:00+00:00,26
2023-09-14 00:00:00+00:00,27
2023-09-16 00:00:00+00:00,28
2024-01-12 00:00:00+00:00,29
2024-09-26 00:00:00+00:00,30
